Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,90,Qv-T,Rice,P4G22,F,NA,C,C,C,Qv,C,C,C,C,C,C,Qv,Qv,C,C,C,Qv,C,Qv,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,91,Qv-F,KRE,58,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,92,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,93,Qv-T,Rice,P4G31,M,NA,Qv,Qv,Qv,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,94,Qv-T,Rice,P4G09,F,NA,C,C,C,C,Qv,C,C,C,C,C,C,Qv,Qv,Qv,C,C,C,C,C,Qv,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,95,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,96,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,97,Qv-T,Rice,P4G31,M,NA,C,C,C,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,C,C,Qg,Qg,Qg,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,98,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,99,Qv-T,Rice,P4G09,F,NA,C,C,Qg,Qg,Qg,Qg,Qg,Qg,C,C,C,Qg,Qg,C,C,C,C,C,C,Qg,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,100,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,101,Qv-F,KRE,33,M,NA,Qv,Qv,C,C,C,C,C,C,C,C,Qg,Qg,C,C,Qv,C,C,C,Qv,Qv,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,102,Qv-T,Rice,P4G31,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,103,Qv-T,Rice,P4G09,F,NA,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,104,Qv-T,Rice,P4G09,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,105,Qv-F,KRE,35,M,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,106,Qv-T,Rice,P4G09,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,Qv,Qv,Qv,Qv,Qv,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,107,Qv-T,Rice,P4G09,F,NA,C,C,C,C,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,108,Qv-F,KRE,35,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,109,Qv-F,KRE,58,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,110,Qv-T,Rice,P4G07,F,NA,Qv,C,C,C,Qv,Qv,Qv,Qv,C,Qv,C,C,C,Qv,Qg,Qg,Qg,C,Qg,Qg,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,111,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,112,Qv-T,Rice,P4G36,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,113,Qv-T,Rice,P4G07,F,NA,C,Qv,C,C,C,C,C,C,C,C,C,C,C,Qg,C,Qv,Qv,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,114,Qv-F,KRE,58,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,Qv,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,115,Qv-T,Rice,P4G07,F,NA,Qg,C,C,C,Qg,Qv,Qv,Qv,Qv,Qg,C,Qg,C,Qv,Qg,Qg,Qg,Qv,Qg,Qg,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,116,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
